libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
assistant maternel / assistante maternelle;http://www.onisep.fr/http/redirection/metier/identifiant/100443;Les métiers auprès des enfants;Parcours;2015;9782273012294;R : Santé, social, soins personnels;K1303;Assistance auprès d'enfants;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1303;santé - social - sport/travail social
conseiller / conseillère en insertion sociale et professionnelle;http://www.onisep.fr/http/redirection/metier/identifiant/100447;Les métiers au service des autres;Zoom sur les métiers;2019;9782273014878;R : Santé, social, soins personnels;K1801;Conseil en emploi et insertion socioprofessionnelle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1801;santé - social - sport/travail social
directeur / directrice des services pénitentiaires;http://www.onisep.fr/http/redirection/metier/identifiant/100471;Les métiers de la justice;Parcours;2020;9782273015165;W : Droit, enseignement, recherche en sciences humaines;K1403;Management de structure de santé, sociale ou pénitentiaire;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1403;économie - droit - politique/activité judiciaire
secrétaire juridique;http://www.onisep.fr/http/redirection/metier/identifiant/100474;Les métiers du droit;Parcours;2016;9782273012843;W : Droit, enseignement, recherche en sciences humaines;M1607;Secrétariat;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1607;gestion des entreprises, comptabilité/secrétariat
chargé / chargée de communication interne;http://www.onisep.fr/http/redirection/metier/identifiant/100478;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1103;Communication;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;information-communication, audiovisuel/communication
juge des enfants;http://www.onisep.fr/http/redirection/metier/identifiant/100522;Les métiers auprès des enfants;Parcours;2015;9782273012294;W : Droit, enseignement, recherche en sciences humaines;K1904;Magistrature;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1904;économie - droit - politique/activité judiciaire
ingénieur / ingénieure brevets;http://www.onisep.fr/http/redirection/metier/identifiant/100542;;Fiches métiers / onisep.fr;;;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"économie - droit - politique/droit privé ; sciences/biologie"
ingénieur / ingénieure structures;http://www.onisep.fr/http/redirection/metier/identifiant/100557;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1106;Ingénierie et études du BTP;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction - architecture - travaux publics/génie civil ; construction - architecture - travaux publics/génie civil, construction (généralités) ; mécanique/mécanique (généralités)"
ingénieur / ingénieure hydroécologue;http://www.onisep.fr/http/redirection/metier/identifiant/100577;;Fiches métiers / onisep.fr;;;T : Environnement, nettoyage, sécurité;A1303;Ingénierie en agriculture et environnement naturel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"environnement - énergies - propreté/environnement (généralités) ; environnement - énergies - propreté/gestion de l'eau ; sciences/sciences de la Terre"
designer d'interaction;http://www.onisep.fr/http/redirection/metier/identifiant/100599;Les métiers du web;Parcours;2015;9782273012270;U : Communication, médias;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/multimédia"
administrateur / administratrice de logiciels de laboratoire;http://www.onisep.fr/http/redirection/metier/identifiant/100614;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1810;Production et exploitation de systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1810;"informatique, internet/informatique (généralités) ; informatique, internet/systèmes et réseaux"
gestionnaire de données cliniques;http://www.onisep.fr/http/redirection/metier/identifiant/100622;;Fiches métiers / onisep.fr;;;J : Transformation des matériaux, procédés (biologie, chimie, physique);M1802;Expertise et support en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/informatique (généralités) ; sciences/biologie ; sciences/mathématiques"
consultant / consultante en solutions intégrées;http://www.onisep.fr/http/redirection/metier/identifiant/100631;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;"électricité - électronique - robotique/électronique ; électricité - électronique - robotique/télécommunications ; informatique, internet/informatique (généralités)"
chef de produit technique en informatique;http://www.onisep.fr/http/redirection/metier/identifiant/100639;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1703;Management et gestion de produit;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"commerce, marketing, vente/marketing - vente ; électricité - électronique - robotique/télécommunications ; informatique, internet/informatique (généralités)"
consultant / consultante en informatique décisionnelle;http://www.onisep.fr/http/redirection/metier/identifiant/100676;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;informatique, internet/informatique (généralités)
chef / cheffe de projet communication digitale;http://www.onisep.fr/http/redirection/metier/identifiant/100714;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1103;Communication;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;commerce, marketing, vente/marketing - vente
conducteur/trice d'engins forestiers de récolte en entreprises de travaux forestiers;http://www.onisep.fr/http/redirection/metier/identifiant/100970;Les métiers de la forêt et du bois;Zoom sur les métiers;2017;9782273013635;A : Agriculture;A1101;Conduite d'engins agricoles et forestiers;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;agriculture, animaux/forêt
énergéticien/ne;http://www.onisep.fr/http/redirection/metier/identifiant/100973;Les métiers des industries des papiers cartons;Zoom sur les métiers;2019;9782273014830;J : Transformation des matériaux, procédés (biologie, chimie, physique);;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/papier carton ; mécanique/automatismes ; sciences/physique"
brancardier / brancardière;http://www.onisep.fr/http/redirection/metier/identifiant/101049;Les métiers du social;Parcours;2019;9782273014571;R : Santé, social, soins personnels;J1301;Personnel polyvalent des services hospitaliers;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1301;santé - social - sport/travail social
professeur / professeure en activité physique adaptée;http://www.onisep.fr/http/redirection/metier/identifiant/101053;Les métiers du social;Parcours;2019;9782273014571;R : Santé, social, soins personnels;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"santé - social - sport/sport ; sciences/biologie"
correcteur / correctrice;http://www.onisep.fr/http/redirection/metier/identifiant/100512;Les métiers du livre;Parcours;2017;9782273013260;U : Communication, médias;E1305;Préparation et correction en édition et presse;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1305;"information-communication, audiovisuel/industries graphiques ; information-communication, audiovisuel/journalisme - édition - publicité"
chargé / chargée de pharmacovigilance;http://www.onisep.fr/http/redirection/metier/identifiant/100520;Les métiers de l'industrie du médicament;Zoom sur les métiers;2017;9782273013642;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1502;Management et ingénierie qualité industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1502;santé - social - sport/santé (généralités)
juge des contentieux de la protection;http://www.onisep.fr/http/redirection/metier/identifiant/100523;Les métiers de la justice;Parcours;2020;9782273015165;W : Droit, enseignement, recherche en sciences humaines;K1904;Magistrature;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1904;économie - droit - politique/activité judiciaire
géochimiste;http://www.onisep.fr/http/redirection/metier/identifiant/100539;Les métiers de la chimie;Parcours;2016;9782273012867;T : Environnement, nettoyage, sécurité;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"sciences/chimie ; sciences/sciences de la Terre"
ingénieur / ingénieure essais;http://www.onisep.fr/http/redirection/metier/identifiant/100545;;Fiches métiers / onisep.fr;;;F : Mécanique;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"matières premières, fabrication, industries/études et développement ; mécanique/aéronautique ; mécanique/mécanique (généralités)"
ingénieur / ingénieure environnement et risques industriels;http://www.onisep.fr/http/redirection/metier/identifiant/100552;Les métiers de la chimie;Parcours;2016;9782273012867;T : Environnement, nettoyage, sécurité;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"sciences/biologie ; sciences/chimie"
glaciologue;http://www.onisep.fr/http/redirection/metier/identifiant/100635;;Fiches métiers / onisep.fr;;;T : Environnement, nettoyage, sécurité;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;sciences/sciences de la Terre
roboticien / roboticienne;http://www.onisep.fr/http/redirection/metier/identifiant/100662;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;H1208;Intervention technique en études et conception en automatisme;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1208;"électricité - électronique - robotique/électronique ; mécanique/automatismes"
ingénieur / ingénieure en imagerie médicale;http://www.onisep.fr/http/redirection/metier/identifiant/100670;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;R : Santé, social, soins personnels;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;santé - social - sport/paramédical
ingénieur / ingénieure production en aéronautique;http://www.onisep.fr/http/redirection/metier/identifiant/100673;Les métiers de l'industrie aéronautique et spatiale;Parcours;2017;9782273013284;F : Mécanique;H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"matières premières, fabrication, industries/méthodes industrialisation ; mécanique/aéronautique ; mécanique/mécanique (généralités)"
consultant / consultante en systèmes d'information;http://www.onisep.fr/http/redirection/metier/identifiant/100677;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;informatique, internet/informatique (généralités)
diagnostiqueur / diagnostiqueuse immobilier;http://www.onisep.fr/http/redirection/metier/identifiant/100703;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1103;Contrôle et diagnostic technique du bâtiment;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1103;construction - architecture - travaux publics/génie civil, construction (généralités)
employé/e d'élevage;http://www.onisep.fr/http/redirection/metier/identifiant/100911;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1411;Élevage porcin;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1411;agriculture, animaux/élevage - aquaculture
ingénieur/e de recherche (papiers cartons);http://www.onisep.fr/http/redirection/metier/identifiant/100968;Les métiers des industries des papiers cartons;Zoom sur les métiers;2019;9782273014830;J : Transformation des matériaux, procédés (biologie, chimie, physique);;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"matières premières, fabrication, industries/papier carton ; sciences/chimie"
aide-chimiste;http://www.onisep.fr/http/redirection/metier/identifiant/101048;Les métiers de la chimie;Parcours;2016;9782273012867;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1503;Intervention technique en laboratoire d'analyse industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;sciences/chimie
chirurgien / chirurgienne;http://www.onisep.fr/http/redirection/metier/identifiant/100521;Les métiers du médical;Parcours;2019;9782273014519;R : Santé, social, soins personnels;J1102;Médecine généraliste et spécialisée;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102;santé - social - sport/médical
entraîneur / entraîneuse de chevaux;http://www.onisep.fr/http/redirection/metier/identifiant/100529;Les métiers auprès des animaux;Parcours;2019;9782273014588;A : Agriculture;L1401;Sportif professionnel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1401;agriculture, animaux/soins aux animaux
ingénieur / ingénieure méthodes mécaniques;http://www.onisep.fr/http/redirection/metier/identifiant/100546;Les métiers de l'automobile;Parcours;2020;9782273015172;F : Mécanique;H1402;Management et ingénierie méthodes et industrialisation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1402;"matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/méthodes industrialisation ; mécanique/mécanique (généralités)"
chargé / chargée d'études en valorisation agricole des déchets;http://www.onisep.fr/http/redirection/metier/identifiant/100572;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;T : Environnement, nettoyage, sécurité;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"agriculture, animaux/agriculture (généralités) ; environnement - énergies - propreté/déchets, pollutions et risques"
ingénieur / ingénieure réservoir;http://www.onisep.fr/http/redirection/metier/identifiant/100580;Les métiers de l'énergie;Parcours;2016;9782273012812;H : Electricité, énergie, électronique;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;environnement - énergies - propreté/énergies
ingénieur / ingénieure hydrogéomorphologue;http://www.onisep.fr/http/redirection/metier/identifiant/100584;;Fiches métiers / onisep.fr;;;T : Environnement, nettoyage, sécurité;M1808;Information géographique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808;sciences/sciences de la Terre
responsable de site de traitement des déchets;http://www.onisep.fr/http/redirection/metier/identifiant/100589;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;K2306;Supervision d'exploitation éco-industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2306;environnement - énergies - propreté/déchets, pollutions et risques
ingénieur / ingénieure fluides, énergies, réseaux, environnement;http://www.onisep.fr/http/redirection/metier/identifiant/100594;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; sciences/physique"
responsable biométrie;http://www.onisep.fr/http/redirection/metier/identifiant/100608;;Fiches métiers / onisep.fr;;;J : Transformation des matériaux, procédés (biologie, chimie, physique);M1802;Expertise et support en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"sciences/biologie ; sciences/mathématiques"
halieute;http://www.onisep.fr/http/redirection/metier/identifiant/100609;;Fiches métiers / onisep.fr;;;A : Agriculture;A1303;Ingénierie en agriculture et environnement naturel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"agriculture, animaux/agriculture (généralités) ; sciences/biologie"
data manager;http://www.onisep.fr/http/redirection/metier/identifiant/100660;Les métiers des mathématiques et de l'informatique;Zoom sur les métiers;2015;9782273012652;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1802;Expertise et support en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/informatique (généralités) ; sciences/mathématiques"
ingénieur / ingénieure en fonderie;http://www.onisep.fr/http/redirection/metier/identifiant/100674;;Fiches métiers / onisep.fr;;;J : Transformation des matériaux, procédés (biologie, chimie, physique);H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;matières premières, fabrication, industries/matériaux
inséminateur / inséminatrice;http://www.onisep.fr/http/redirection/metier/identifiant/100687;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1303;Ingénierie en agriculture et environnement naturel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"agriculture, animaux/élevage - aquaculture ; agriculture, animaux/soins aux animaux"
responsable de production alimentaire;http://www.onisep.fr/http/redirection/metier/identifiant/100699;Les métiers de l'agroalimentaire;Parcours;2019;9782273014557;K : Production alimentaire;H2504;Encadrement d'équipe en industrie de transformation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2504;matières premières, fabrication, industries/agroalimentaire
diagnostiqueur / diagnostiqueuse immobilier;http://www.onisep.fr/http/redirection/metier/identifiant/100703;Les métiers de l'immobilier;Parcours;2018;9782273013918;C : Bâtiment;F1103;Contrôle et diagnostic technique du bâtiment;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1103;construction - architecture - travaux publics/génie civil, construction (généralités)
community manager;http://www.onisep.fr/http/redirection/metier/identifiant/100712;Les métiers du commerce et de la vente;Parcours;2018;9782273013864;U : Communication, médias;E1101;Animation de site multimédia;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1101;"commerce, marketing, vente/marketing - vente ; information-communication, audiovisuel/communication"
BIM manager;http://www.onisep.fr/http/redirection/metier/identifiant/100713;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1106;Ingénierie et études du BTP;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction - architecture - travaux publics/génie civil ; informatique, internet/informatique (généralités)"
formateur / formatrice technique en agroéquipement;http://www.onisep.fr/http/redirection/metier/identifiant/100820;Les métiers de l'automobile;Parcours;2020;9782273015172;W : Droit, enseignement, recherche en sciences humaines;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"matières premières, fabrication, industries/maintenance - qualité ; mécanique/machinisme agricole ; mécanique/mécanique (généralités)"
employé/e d'élevage;http://www.onisep.fr/http/redirection/metier/identifiant/100911;Les métiers auprès des animaux;Parcours;2019;9782273014588;A : Agriculture;A1411;Élevage porcin;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1411;agriculture, animaux/élevage - aquaculture
généalogiste;http://www.onisep.fr/http/redirection/metier/identifiant/101051;;Fiches métiers / onisep.fr;;;W : Droit, enseignement, recherche en sciences humaines;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"économie - droit - politique/droit (généralités) ; histoire/géographie, psychologie, sociologie/histoire"
anesthésiste-réanimateur / anesthésiste-réanimatrice;http://www.onisep.fr/http/redirection/metier/identifiant/100519;Les métiers du médical;Parcours;2019;9782273014519;R : Santé, social, soins personnels;J1102;Médecine généraliste et spécialisée;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102;santé - social - sport/médical
juge des enfants;http://www.onisep.fr/http/redirection/metier/identifiant/100522;Les métiers de la justice;Parcours;2020;9782273015165;W : Droit, enseignement, recherche en sciences humaines;K1904;Magistrature;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1904;économie - droit - politique/activité judiciaire
ingénieur technico-commercial / ingénieure technico-commerciale en électronique;http://www.onisep.fr/http/redirection/metier/identifiant/100574;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;H : Electricité, énergie, électronique;D1407;Relation technico-commerciale;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407;"commerce, marketing, vente/marketing - vente ; électricité - électronique - robotique/électronique"
géologue modélisateur / modélisatrice;http://www.onisep.fr/http/redirection/metier/identifiant/100581;;Fiches métiers / onisep.fr;;;T : Environnement, nettoyage, sécurité;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;sciences/sciences de la Terre
responsable de réseau d'assainissement;http://www.onisep.fr/http/redirection/metier/identifiant/100590;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;K2302;Management et inspection en environnement urbain;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2302;"environnement - énergies - propreté/gestion de l'eau ; sciences/physique ; sciences/sciences de la Terre"
paléontologue;http://www.onisep.fr/http/redirection/metier/identifiant/100603;;Fiches métiers / onisep.fr;;;W : Droit, enseignement, recherche en sciences humaines;K2401;Recherche en sciences de l'homme et de la société;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2401;sciences/sciences de la Terre
bactériologiste;http://www.onisep.fr/http/redirection/metier/identifiant/100613;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;sciences/biologie
médiateur / médiatrice scientifique;http://www.onisep.fr/http/redirection/metier/identifiant/100648;;Fiches métiers / onisep.fr;;;W : Droit, enseignement, recherche en sciences humaines;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"informatique, internet/informatique (généralités) ; sciences/biologie ; sciences/chimie ; sciences/mathématiques ; sciences/physique"
cryptologue;http://www.onisep.fr/http/redirection/metier/identifiant/100664;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;informatique, internet/systèmes et réseaux
ingénieur / ingénieure d'affaires en génie électrique;http://www.onisep.fr/http/redirection/metier/identifiant/100679;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"électricité - électronique - robotique/électronique ; électricité - électronique - robotique/électrotechnique ; mécanique/automatismes"
responsable d'élevage agricole;http://www.onisep.fr/http/redirection/metier/identifiant/100971;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1411;Élevage porcin;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1411;"agriculture, animaux/agriculture (généralités) ; agriculture, animaux/élevage - aquaculture"
responsable d'élevage agricole;http://www.onisep.fr/http/redirection/metier/identifiant/100971;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1409;Élevage de lapins et volailles;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1409;"agriculture, animaux/agriculture (généralités) ; agriculture, animaux/élevage - aquaculture"
conseiller/ère d'élevage;http://www.onisep.fr/http/redirection/metier/identifiant/100972;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1301;Conseil et assistance technique en agriculture;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;"agriculture, animaux/développement agricole ; agriculture, animaux/élevage - aquaculture"
opérateur / opératrice en traitement des matériaux;http://www.onisep.fr/http/redirection/metier/identifiant/101042;Les métiers de l'industrie aéronautique et spatiale;Parcours;2017;9782273013284;J : Transformation des matériaux, procédés (biologie, chimie, physique);H3402;Conduite de traitement par dépôt de surface;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H3402;"matières premières, fabrication, industries/métallurgie sidérurgie ; mécanique/travail des métaux ; sciences/physique"
technicien / technicienne de maintenance en génie climatique;http://www.onisep.fr/http/redirection/metier/identifiant/10025;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;H : Electricité, énergie, électronique;I1306;Installation et maintenance en froid, conditionnement d'air;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1306;"construction - architecture - travaux publics/équipement technique ; environnement - énergies - propreté/énergies"
administrateur / administratrice de base de données;http://www.onisep.fr/http/redirection/metier/identifiant/10056;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1801;Administration de systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1801;"informatique, internet/bases de données ; informatique, internet/informatique (généralités)"
chef / cheffe de produit marketing;http://www.onisep.fr/http/redirection/metier/identifiant/10061;Les métiers de l'automobile;Parcours;2020;9782273015172;Q : Commerce, gestion, finances;M1703;Management et gestion de produit;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"commerce, marketing, vente/grande distribution et petits commerces ; commerce, marketing, vente/marketing - vente"
acheteur / acheteuse;http://www.onisep.fr/http/redirection/metier/identifiant/10068;Les métiers du goût et des saveurs;Parcours;2018;9782273013888;Q : Commerce, gestion, finances;M1101;Achat;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement ; commerce, marketing, vente/grande distribution et petits commerces"
caissier / caissière;http://www.onisep.fr/http/redirection/metier/identifiant/10070;Les métiers du commerce alimentaire de proximité;Zoom sur les métiers;2020;9782273014915;Q : Commerce, gestion, finances;D1505;Personnel de caisse;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1505;commerce, marketing, vente/grande distribution et petits commerces
commerçant / commerçante en alimentation;http://www.onisep.fr/http/redirection/metier/identifiant/10073;Les métiers du commerce alimentaire de proximité;Zoom sur les métiers;2020;9782273014915;Q : Commerce, gestion, finances;D1106;Vente en alimentation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"commerce, marketing, vente/grande distribution et petits commerces ; matières premières, fabrication, industries/agroalimentaire"
conducteur/trice de machines agricoles;http://www.onisep.fr/http/redirection/metier/identifiant/10127;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1101;Conduite d'engins agricoles et forestiers;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;mécanique/machinisme agricole
accompagnateur / accompagnatrice de voyages;http://www.onisep.fr/http/redirection/metier/identifiant/10143;Les métiers du tourisme;Parcours;2019;9782273014526;S : Hôtellerie, tourisme, loisirs;G1201;Accompagnement de voyages, d'activités culturelles ou sportives;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"hôtellerie - restauration - tourisme/tourisme ; lettres, langues - enseignement/langues"
designer graphique;http://www.onisep.fr/http/redirection/metier/identifiant/10164;Les métiers du jeu vidéo;Parcours;2019;9782273014502;N : Techniques graphiques, impression;E1205;Réalisation de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/industries graphiques"
designer industriel / designeuse industrielle;http://www.onisep.fr/http/redirection/metier/identifiant/10168;Les métiers du design;Parcours;2019;9782273014595;N : Techniques graphiques, impression;H1204;Design industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1204;arts, culture, artisanat/arts graphiques
ingénieur / ingénieure du son;http://www.onisep.fr/http/redirection/metier/identifiant/10179;Les métiers du cinéma;Parcours;2018;9782273013871;U : Communication, médias;L1508;Prise de son et sonorisation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1508;"arts, culture, artisanat/arts du spectacle ; information-communication, audiovisuel/audiovisuel"
