libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
accompagnateur / accompagnatrice en moyenne montagne;http://www.onisep.fr/http/redirection/metier/identifiant/10257;Les métiers de la montagne;Parcours;2018;9782273013925;S : Hôtellerie, tourisme, loisirs;G1201;Accompagnement de voyages, d'activités culturelles ou sportives;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"hôtellerie - restauration - tourisme/tourisme ; santé - social - sport/sport"
traducteur-interprète / traductrice-interprète;http://www.onisep.fr/http/redirection/metier/identifiant/10301;Les métiers du livre;Parcours;2017;9782273013260;U : Communication, médias;E1108;Traduction, interprétariat;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1108;lettres, langues - enseignement/langues
commissaire-priseur / priseuse;http://www.onisep.fr/http/redirection/metier/identifiant/10307;Les métiers du droit;Parcours;2016;9782273012843;V : Arts, spectacle, audiovisuel;K1901;Aide et médiation judiciaire;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"arts, culture, artisanat/commerce de l'art ; économie - droit - politique/droit (généralités) ; économie - droit - politique/droit privé"
commissaire-priseur / priseuse;http://www.onisep.fr/http/redirection/metier/identifiant/10307;Les métiers de la culture et du patrimoine;Parcours;2018;9782273013338;V : Arts, spectacle, audiovisuel;K1901;Aide et médiation judiciaire;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"arts, culture, artisanat/commerce de l'art ; économie - droit - politique/droit (généralités) ; économie - droit - politique/droit privé"
technicien / technicienne qualité;http://www.onisep.fr/http/redirection/metier/identifiant/10321;Les métiers de la chimie;Parcours;2016;9782273012867;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1506;Intervention technique qualité en mécanique et travail des métaux;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1506;"matières premières, fabrication, industries/agroalimentaire ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/maintenance - qualité"
technicien / technicienne qualité;http://www.onisep.fr/http/redirection/metier/identifiant/10321;Les métiers du livre;Parcours;2017;9782273013260;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1504;Intervention technique en contrôle essai qualité en électricité et électronique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1504;"matières premières, fabrication, industries/agroalimentaire ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/maintenance - qualité"
technicien / technicienne d'exploitation du réseau gaz;http://www.onisep.fr/http/redirection/metier/identifiant/10323;;Fiches métiers / onisep.fr;;;H : Electricité, énergie, électronique;H2701;Pilotage d'installation énergétique et pétrochimique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2701;environnement - énergies - propreté/énergies
ingénieur / ingénieure recherche et développement en agroalimentaire;http://www.onisep.fr/http/redirection/metier/identifiant/10340;Les métiers de l'agroalimentaire;Parcours;2019;9782273014557;K : Production alimentaire;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"matières premières, fabrication, industries/agroalimentaire ; matières premières, fabrication, industries/études et développement"
opérateur / opératrice sur machine à commande numérique;http://www.onisep.fr/http/redirection/metier/identifiant/10354;;Fiches métiers / onisep.fr;;;F : Mécanique;H2912;Réglage d'équipement de production industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2912;"mécanique/automatismes ; mécanique/mécanique (généralités)"
expert / experte automobile;http://www.onisep.fr/http/redirection/metier/identifiant/10364;Les métiers de l'automobile;Parcours;2020;9782273015172;F : Mécanique;I1604;Mécanique automobile et entretien de véhicules;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1604;"matières premières, fabrication, industries/génie industriel ; mécanique/automobile"
monteur / monteuse en réseaux de distribution électrique;http://www.onisep.fr/http/redirection/metier/identifiant/10375;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;H : Electricité, énergie, électronique;F1605;Montage de réseaux électriques et télécoms;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1605;"électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies"
